库容,水位
297.766,164.7
298.576,164.8
299.387,164.9
300.2,165
301.015,165.1
301.833,165.2
302.653,165.3
303.476,165.4
304.301,165.5
305.128,165.6
305.958,165.7
306.791,165.8
307.626,165.9
308.463,166
309.303,166.1
310.145,166.2
310.99,166.3
311.838,166.4
312.687,166.5
313.54,166.6
314.394,166.7
315.251,166.8
316.111,166.9
316.973,167
317.838,167.1
318.705,167.2
319.575,167.3
320.447,167.4
321.321,167.5
322.198,167.6
323.078,167.7
323.96,167.8
324.845,167.9
325.732,168
326.621,168.1
327.513,168.2
328.408,168.3
329.305,168.4
330.205,168.5
331.107,168.6
332.011,168.7
332.918,168.8
333.829,168.9
335.655,169.1
336.572,169.2
337.492,169.3
338.414,169.4
339.338,169.5
340.266,169.6
341.196,169.7
342.128,169.8
343.063,169.9
344,170
344.94,170.1
345.881,170.2
346.825,170.3
347.77,170.4
348.718,170.5
349.667,170.6
350.618,170.7
351.571,170.8
352.526,170.9
353.483,171
354.442,171.1
355.402,171.2
356.364,171.3
357.328,171.4
358.293,171.5
359.26,171.6
360.229,171.7
361.2,171.8
362.172,171.9
363.146,172
364.121,172.1
365.098,172.2
366.076,172.3
367.056,172.4
368.038,172.5
369.021,172.6
370.005,172.7
370.991,172.8
371.978,172.9
372.967,173
373.957,173.1
374.948,173.2
375.941,173.3
376.935,173.4
377.93,173.5
378.927,173.6
380.923,173.8
381.924,173.9
383.928,174.1
385.936,174.3
386.942,174.4
387.949,174.5
388.957,174.6
389.967,174.7
390.977,174.799
391.988,174.899
393,174.999
394.013,175.099
395.029,175.199
396.046,175.299
397.064,175.399
398.084,175.499
399.106,175.599
400.13,175.699
401.155,175.799
402.182,175.899
403.211,175.999
404.241,176.099
405.274,176.199
407.343,176.399
408.38,176.499
409.418,176.599
410.459,176.699
411.501,176.799
412.544,176.899
413.59,176.999
414.637,177.099
415.685,177.199
416.736,177.299
417.788,177.399
418.841,177.499
419.896,177.599
420.953,177.699
422.011,177.799
423.071,177.899
424.133,177.999
425.196,178.099
426.261,178.199
427.328,178.299
428.396,178.399
429.465,178.499
430.537,178.599
432.684,178.799
433.76,178.899
434.838,178.999
435.917,179.099
436.998,179.199
438.08,179.299
439.164,179.399
440.249,179.499
441.336,179.599
442.425,179.699
443.515,179.799
444.607,179.899
445.7,179.999
446.796,180.099
447.897,180.199
449.002,180.299
450.111,180.399
451.224,180.499
452.342,180.599
453.463,180.699
454.589,180.799
455.719,180.899
456.853,180.999
457.99,181.099
459.132,181.199
460.277,181.299
461.427,181.399
462.58,181.499
463.737,181.599
464.898,181.699
466.062,181.799
467.23,181.899
468.401,181.999
469.576,182.099
470.755,182.199
471.937,182.299
473.122,182.399
474.311,182.499
475.503,182.599
476.698,182.699
477.897,182.799
479.099,182.899
480.304,182.999
481.512,183.099
482.723,183.199
483.937,183.299
485.154,183.399
486.374,183.499
487.597,183.599
488.823,183.699
490.052,183.799
491.283,183.899
492.517,183.999
493.754,184.099
494.994,184.199
496.236,184.299
497.48,184.399
498.728,184.499
499.977,184.599
501.229,184.699
502.484,184.799
503.741,184.899
505,184.999
506.263,185.099
507.531,185.199
508.805,185.299
510.083,185.399
511.367,185.499
512.656,185.599
513.95,185.699
515.249,185.799
516.553,185.899
517.862,185.999
519.176,186.099
520.495,186.199
521.819,186.299
523.147,186.399
524.48,186.499
525.818,186.599
527.161,186.699
528.508,186.799
529.86,186.899
531.217,186.999
532.577,187.099
533.943,187.199
535.313,187.299
536.687,187.399
538.066,187.499
539.448,187.599
540.836,187.699
542.227,187.799
543.623,187.899
545.022,187.999
546.426,188.099
547.834,188.199
549.246,188.299
550.662,188.399
552.082,188.499
553.506,188.599
554.934,188.699
556.365,188.799
557.801,188.899
559.24,188.999
559.24,188.999
